cloud,instance,compute,compute_label,plan,vcpu,memory,baserate,dburate,hourrate,selector,region,storage
AWS,c5.12xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Premium,48,96,0.25,7.280,1.8200,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $1.82/hr,,
AWS,c5.12xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Enterprise,48,96,0.25,7.280,1.8200,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $1.82/hr,,
AWS,c5.12xlarge,Jobs Compute,Jobs Compute ($0.10/DBU),Standard,48,96,0.10,7.280,0.7280,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $0.728/hr,,
AWS,c5.12xlarge,Jobs Compute,Jobs Compute ($0.15/DBU),Premium,48,96,0.15,7.280,1.0920,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $1.092/hr,,
AWS,c5.12xlarge,Jobs Compute,Jobs Compute ($0.20/DBU),Enterprise,48,96,0.20,7.280,1.4560,c5.12xlarge | 48CPUs | 96GB | 7.28DBU/hr | $1.456/hr,,
AWS,c5.12xlarge,Jobs Light Compute,Jobs Light Compute ($0.07/DBU),Standard,48,96,0.07,3.860,0.2702,c5.12xlarge | 48CPUs | 96GB | 3.86DBU/hr | $0.2702/hr,,
AWS,c5.12xlarge,Jobs Light Compute,Jobs Light Compute ($0.10/DBU),Premium,48,96,0.10,3.860,0.3860,c5.12xlarge | 48CPUs | 96GB | 3.86DBU/hr | $0.386/hr,,
AWS,c5.12xlarge,Jobs Light Compute,Jobs Light Compute ($0.13/DBU),Enterprise,48,96,0.13,3.860,0.5018,c5.12xlarge | 48CPUs | 96GB | 3.86DBU/hr | $0.5018/hr,,
AWS,c5.18xlarge,All-Purpose Compute,All-Purpose Compute ($0.40/DBU),Standard,72,144,0.40,10.920,4.3680,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $4.368/hr,,
AWS,c5.18xlarge,All-Purpose Compute,All-Purpose Compute ($0.55/DBU),Premium,72,144,0.55,10.920,6.0060,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $6.006/hr,,
AWS,c5.18xlarge,All-Purpose Compute,All-Purpose Compute ($0.65/DBU),Enterprise,72,144,0.65,10.920,7.0980,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $7.098/hr,,
AWS,c5.18xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Standard,72,144,0.36,10.920,3.9312,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $3.9312/hr,,
AWS,c5.18xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Premium,72,144,0.36,10.920,3.9312,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $3.9312/hr,,
AWS,c5.18xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Enterprise,72,144,0.36,10.920,3.9312,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $3.9312/hr,,
AWS,c5.18xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Standard,72,144,0.20,10.920,2.1840,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $2.184/hr,,
AWS,c5.18xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Premium,72,144,0.20,10.920,2.1840,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $2.184/hr,,
AWS,c5.18xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Enterprise,72,144,0.20,10.920,2.1840,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $2.184/hr,,
AWS,c5.18xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Standard,72,144,0.25,10.920,2.7300,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $2.73/hr,,
AWS,c5.18xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Premium,72,144,0.25,10.920,2.7300,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $2.73/hr,,
AWS,c5.18xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Enterprise,72,144,0.25,10.920,2.7300,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $2.73/hr,,
AWS,c5.18xlarge,Jobs Compute,Jobs Compute ($0.10/DBU),Standard,72,144,0.10,10.920,1.0920,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $1.092/hr,,
AWS,c5.18xlarge,Jobs Compute,Jobs Compute ($0.15/DBU),Premium,72,144,0.15,10.920,1.6380,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $1.638/hr,,
AWS,c5.18xlarge,Jobs Compute,Jobs Compute ($0.20/DBU),Enterprise,72,144,0.20,10.920,2.1840,c5.18xlarge | 72CPUs | 144GB | 10.92DBU/hr | $2.184/hr,,
